Algorithm,SideChannelAttacks,FaultInjectionAttacks,RNGFailures,SecretHandlingFailures,APIMisuse,date_stamp,iacr_reference,mitigation_notes
3DES,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Upgrade to AES-256-GCM. Triple-DES is deprecated per NIST SP 800-131A Rev 2.
AES,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Use constant-time AES implementations (AES-NI). Apply masking countermeasures for hardware targets. See NIST FIPS 197.
Any (Attribute-Based Encryption),Unknown,Unknown,Unknown,Unknown,Unknown,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
Any (Firmware Signing),Unknown,Unknown,Unknown,Unknown,Unknown,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
Any (Stateless),Unknown,Unknown,Unknown,Unknown,Unknown,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
DES,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
DH (Diffie-Hellman),Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,"Migrate to ML-KEM. Legacy deployments: use strong DH groups (RFC 7919), validate public keys."
ECDH,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM per NIST IR 8547. For legacy: validate curve points and use constant-time scalar multiplication.
ECDH + ML-KEM,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2023/1301,Hybrid construction provides classical + PQC security. Ensure ML-KEM implementation uses constant-time operations. Validate ciphertext before decapsulation.
ECDSA,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-DSA per NIST IR 8547. For legacy: enforce RFC 6979 deterministic nonce generation.
ECDSA + ML-DSA,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2017/633,Hybrid signature provides classical + PQC security. Both components must be verified independently.
Ed25519,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-DSA or SLH-DSA for long-term signatures. Ed25519 retains classical security.
Ed25519 + ML-DSA,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-DSA or SLH-DSA for long-term signatures. Ed25519 retains classical security.
Ed448,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
HMAC-MD5,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
HPKE (X25519+HKDF),Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM for long-term key exchange. Hybrid X25519+ML-KEM recommended during transition.
MD5,No,No,No,No,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
RSA,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM per NIST IR 8547. For legacy: use CRT blinding and timing-resistant modular exponentiation.
RSA PKCS#1 v1.5,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM per NIST IR 8547. For legacy: use CRT blinding and timing-resistant modular exponentiation.
RSA-OAEP + ML-KEM,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM per NIST IR 8547. For legacy: use CRT blinding and timing-resistant modular exponentiation.
RSA-PSS,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM per NIST IR 8547. For legacy: use CRT blinding and timing-resistant modular exponentiation.
RSA-PSS + ML-DSA,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM per NIST IR 8547. For legacy: use CRT blinding and timing-resistant modular exponentiation.
SHA-1,No,No,No,No,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
SHA-256,No,No,No,No,Yes,2026-05-06,N/A — classical algorithm,No migration required for hash functions. Apply length-extension attack mitigations where relevant.
SM2,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
SM3,No,No,No,No,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
SM4,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
X25519,Yes,Yes,Yes,Yes,Yes,2026-05-06,N/A — classical algorithm,Migrate to ML-KEM for long-term key exchange. Hybrid X25519+ML-KEM recommended during transition.
X448,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
secp256k1,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org (search algorithm name),"Apply constant-time implementation. Use validated library (e.g., liboqs, AWS-LC). Monitor IACR ePrint for known attacks."
ML-KEM-512,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,"ML-KEM (FIPS 203) is vulnerable to side-channel attacks during decapsulation if not constant-time. Timing leakage in NTT operations identified in Kyber (predecessor). Use validated implementations: liboqs, AWS-LC, BouncyCastle PQC. RNG failures catastrophic — use FIPS 140-3 validated DRBG. API misuse risk: do not reuse keypairs across sessions; check ciphertext length before decapsulation."
ML-KEM-768,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,ML-KEM-768 (NIST recommended level 3). Same side-channel profile as ML-KEM-512. Decapsulation must be constant-time. Reference constant-time implementations: https://github.com/pq-crystals/kyber. Ensure secret key zeroization post-use.
ML-KEM-1024,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,ML-KEM-1024 (Level 5 / AES-256 equivalent security). Same implementation attack surface as ML-KEM-512/768. Preferred for CNSA 2.0 compliance. Use hardware acceleration (AES-NI for NTT) where available.
ML-DSA-44,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2017/633,ML-DSA (FIPS 204) signing is deterministic by default (randomized optional). Side-channel leakage in polynomial arithmetic (NTT/rejection sampling) documented. Fault injection can recover signing key if not protected. Use hedged signing (randomized) for robustness against fault attacks. Validate public key before verification operations.
ML-DSA-65,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2017/633,"ML-DSA-65 (Level 3, recommended for general use). Apply same countermeasures as ML-DSA-44. Signing loop (rejection sampling) must be protected against timing leakage."
ML-DSA-87,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2017/633,"ML-DSA-87 (Level 5, highest security). Preferred for CNSA 2.0 firmware signing. Same countermeasures as ML-DSA-44/65. Increased signature size (4627 bytes) — validate buffer sizes."
SLH-DSA-SHA2-128s,No,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,"SLH-DSA (FIPS 205) is hash-based (SPHINCS+). No known side-channel attacks on SHA-2/SHAKE inner functions. Fault injection during signing can leak randomness. CRITICAL: Unlike ML-DSA, SLH-DSA uses a secret seed to derive all keys — seed exposure = total compromise. Ensure seed is generated from FIPS 140-3 DRBG. API misuse: do not use same key for both signature and KEM."
SLH-DSA-SHA2-256s,No,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,"SLH-DSA-SHA2-256s (Level 5). Preferred for software/firmware signing per CNSA 2.0. Same protections as SLH-DSA-SHA2-128s. Large signature size (29,792 bytes) — validate all buffers."
FN-DSA-512,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2020/1100,"FN-DSA (FIPS 206, Falcon). Signing uses floating-point Gaussian sampling — significant side-channel attack surface (timing leakage from FP operations). Hardware implementations require dedicated countermeasures (see IACR 2023/230). Not recommended for software implementations on constrained devices without constant-time FP."
FN-DSA-1024,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2020/1100,FN-DSA-1024 (Level 5). Same FP Gaussian sampling attack surface as FN-DSA-512. Compact signature size (1330 bytes) makes it attractive for IoT — but hardware security required.
FrodoKEM-640,Yes,Yes,Yes,Yes,No,2026-05-06,https://eprint.iacr.org/2016/659,"FrodoKEM (Learning With Errors, no ring structure). Side-channel attacks on matrix sampling documented. Constant-time implementation required. Large key/ciphertext sizes (9,720/9,736 bytes) — not for bandwidth-constrained environments. Used as conservative alternative to ML-KEM where NIST selection concerns exist."
BIKE-L1,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2017/1525,"BIKE (NIST alternate KEM, Round 4). Code-based scheme. Decoder side-channel vulnerability: bit-flipping decoder leaks weight of error vector. See IACR 2022/473 for timing attack. Constant-time decoder implementation is non-trivial. Not FIPS-standardized; use only where ML-KEM is not applicable."
HQC-128,Yes,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2018/1111,"HQC (NIST selected 2025 as additional KEM). Code-based, quasi-cyclic. Decoding side-channel risk similar to BIKE. Constant-time polynomial multiplication required. Currently draft standard — avoid production use until FIPS publication. Monitor: https://csrc.nist.gov/projects/post-quantum-cryptography"
