id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards
NIST,NIST,National Institute of Standards and Technology — US federal agency that standardized the first PQC algorithms,92;52;54;62;22,US,yes,Ongoing,"NIST's PQC Standardization Project (launched 2016) selected ML-KEM (FIPS 203), ML-DSA (FIPS 204), and SLH-DSA (FIPS 205) as the first post-quantum standards, published August 2024. FN-DSA (FIPS 206) published March 2025. NIST IR 8547 defines the transition timeline: deprecate 112-bit classical asymmetric by 2030, disallow by 2035. NIST also runs CMVP (module validation) and CAVP (algorithm validation) programs that enforce these standards globally.",NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227;FIPS 206,United States:NIST,standardization_body,https://csrc.nist.gov/projects/post-quantum-cryptography,nist-csrc,yes,NIST,url_authoritative,85,,92;52;54;62;22,active,,,
ENISA,ENISA,European Union Agency for Cybersecurity — EU's PQC guidance authority and EUCC scheme co-manager,92;54;52,PQC-REGION-EU,yes,Ongoing,ENISA published the landmark 2022 Post-Quantum Cryptography report and subsequent PQC guidelines adopted across EU member states. Co-manages the EUCC certification scheme with ECCG. Provides technical support for NIS2 implementation and coordinates EU-wide PQC migration readiness. ENISA's guidelines are the primary reference for EU organizations planning PQC transitions.,ENISA,ENISA PQC Guidelines;ENISA-Crypto-Market-Analysis-2024;ENISA-State-of-Cybersecurity-2024;ENISA-Threat-Landscape-2025,European Union:EC,standardization_body,https://www.enisa.europa.eu/,enisa,yes,ENISA,url_authoritative,85,,92;54;52,active,,,
ISO-IEC,ISO/IEC JTC 1/SC 27,"ISO/IEC Joint Technical Committee 1, Subcommittee 27 — international body standardizing PQC algorithms for global adoption",92;54;52;62,PQC-REGION-GLOBAL,yes,Ongoing,"ISO/IEC JTC 1/SC 27 Working Group 2 standardizes cryptographic mechanisms for global use. Key PQC work items: ISO/IEC 14888-4 (ML-DSA/Dilithium digital signatures, under development), ISO/IEC 18033 series (encryption, ML-KEM alignment). ISO standards often harmonize with NIST outputs to enable global adoption outside US jurisdiction. Relevant for organizations requiring internationally recognized standards beyond NIST FIPS.",ISO/IEC,ISO/IEC 14888-4:2024;ISO/IEC 18033-2:2006/AMD1:2017,,standardization_body,https://www.iso.org/committee/45306.html,iso-iec-sc27,yes,ISO/IEC,url_authoritative,85,,92;54;52;62,active,,,
IETF,IETF,"Internet Engineering Task Force — open standards body integrating PQC algorithms into internet protocols (TLS, SSH, CMS, S/MIME)",54;51;52,PQC-REGION-GLOBAL,yes,Ongoing,"IETF's PQUIP (Post-Quantum Use In Protocols) working group coordinates PQC integration across the internet protocol stack. 30+ active RFCs and drafts for PQC in 2025-2026 including: RFC 9881/9882 (ML-DSA in X.509/CMS), RFC 9794 (hybrid terminology), RFC 9814 (SLH-DSA in CMS), draft-ietf-tls-ecdhe-mlkem (TLS 1.3 hybrid), draft-ietf-lamps-pq-composite-kem (composite KEM). 6+ drafts in RFC Editor Queue as of early 2026.",IETF,RFC 9794;RFC 9881;RFC 9882;draft-ietf-tls-ecdhe-mlkem-04;draft-ietf-pquip-pqc-engineers-14,,standardization_body,https://datatracker.ietf.org/wg/pquip/about/,ietf,yes,IETF,url_authoritative,85,,54;51;52,active,,,
FIPS-140-3,FIPS 140-3,NIST cryptographic module validation program,92;52;54,US;CA;AU,yes,2030 (NIST IR 8547 deprecation target),CMVP validation will require PQC algorithm support. FIPS 203/204/205 already published. The 2030 date reflects NIST IR 8547's timeline for deprecating 112-bit classical asymmetric algorithms. Important milestone: all FIPS 140-2 certificates move to the Historical list on September 21 2026 — after that date only FIPS 140-3 validated modules may be procured for new federal systems.,NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,United States:NIST,certification_body,https://csrc.nist.gov/projects/cryptographic-module-validation-program,nist-csrc,yes,NIST,url_authoritative,85,,92;52;54,active,,,
COMMON-CRITERIA,Common Criteria,International security evaluation framework,92;54,PQC-REGION-GLOBAL,yes,Ongoing — PQC protection profiles emerging,New protection profiles for PQC are being developed. Certification timelines vary by scheme.,CC Recognition Arrangement,EUCC v2.0 ACM,,certification_body,https://www.commoncriteriaportal.org,iso-iec-sc27,yes,CC Recognition Arrangement,url_needs_review,85,,92;54,active,,,
ANSSI,ANSSI,French national cybersecurity agency regulation,92;52,FR,yes,2025-2030 (phased; mandatory PQC qualification by 2027),"French regulation requires hybrid PQC for new systems. Full migration by 2030. ANSSI issued first PQC security certifications Sept-Oct 2025 (Thales Smartcard MultiApp 5.2 Premium PQC, Samsung S3SSE2A). Updated PQC FAQ published Oct 2025 with comprehensive algorithm guidance. Mandatory PQC qualification requirement effective 2027.",ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper;ANSSI-PQC-FAQ-2025;ANSSI-PG-083-v3-2026,France:ANSSI,compliance_framework,https://www.ssi.gouv.fr,anssi,yes,ANSSI,url_needs_review,85,,92;52,active,,,
CNSA-2,CNSA 2.0,NSA mandate for national security systems,92,US,yes,2025-2033 (phased by category),"NSA mandate for U.S. national security systems. Phased deadlines by category: software/firmware signing prefer 2025 exclusively 2030; web/cloud prefer 2025 exclusively 2033; networking prefer 2026 exclusively 2030; OS prefer 2027 exclusively 2033; niche/legacy 2030-2033. Revised May 2025 algorithm document specifies ML-KEM-1024, ML-DSA-87, AES-256, SHA-384/512, LMS/XMSS. Executive Order 14306 (June 2025) ties CNSA 2.0 to federal procurement mandates via CISA product category list.",NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum;EO-14306;DoD-CIO-PQC-Memo-2025,United States:NSA,compliance_framework,https://www.nsa.gov/Cybersecurity/CNSA-2-0/,nsa-advisory,yes,NSA,url_authoritative,85,,92,active,,,
EIDAS,eIDAS 2.0,EU Digital Identity and Trust Services regulation,54;52,PQC-REGION-EU,yes,2026 (wallet deployments); 2030 (PQC high-risk); 2035 (PQC full),"The 2026/2030/2035 PQC milestones are from the NIS Cooperation Group Coordinated Implementation Roadmap for the Transition to Post-Quantum Cryptography (Jun 2025), mandated by EC Recommendation 2024/1101 (Apr 2024) — not from eIDAS itself. eIDAS 2.0 digital wallets fall under NIS2 essential-entity scope, which is how eIDAS-governed systems become subject to those timelines. Roadmap: digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography",European Commission,ENISA PQC Guidelines;EUDI-Wallet-ARF;ENISA-EUDI-Wallet-Security,European Union:EC,compliance_framework,https://digital-strategy.ec.europa.eu/en/policies/eidas-regulation,ec,yes,European Commission,url_needs_review,85,,54;52,active,,,
PCI-DSS,PCI DSS,Payment Card Industry Data Security Standard,52;44,PQC-REGION-GLOBAL,no,No explicit PQC timeline yet,PCI DSS 4.0 Requirement 12.3.3 (mandatory since March 2025) requires documented cryptographic cipher suite inventory and a plan for anticipated crypto changes — effectively a crypto-agility mandate. Payment card industry will follow NIST guidance for PQC algorithm specifics.,PCI SSC,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.pcisecuritystandards.org,pci-ssc,yes,PCI SSC,url_authoritative,85,,52;44,active,,,
HIPAA,HIPAA,US health data privacy and security rule,62,US,no,No explicit PQC timeline yet,Healthcare data has long sensitivity periods — HNDL risk is significant.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.hhs.gov/hipaa,hhs,yes,HHS OCR,url_authoritative,85,,62,active,,,
GSMA-NG116,GSMA NG.116 / FS.40,GSMA PQC guidelines for mobile network operators,51,PQC-REGION-GLOBAL,yes,2026-2028,Mobile network operator PQC guidance from GSMA. Covers 5G and beyond.,GSMA,GSMA PQ.03 PQC Guidelines,International:GSMA,compliance_framework,https://www.gsma.com/solutions-and-impact/technologies/networks/ng116/,gsma,yes,GSMA,url_authoritative,85,,51,active,,,
ETSI-TS103744,ETSI TS 103 744,ETSI quantum-safe cryptography for telecommunications,51,PQC-REGION-EU,yes,Ongoing,ETSI specification for quantum-safe algorithms in telecom protocols.,ETSI,ETSI TR 103 619;ETSI TS 103 744,International:ETSI/IQC,technical_standard,https://www.etsi.org/committee/cyber,etsi-cyber,yes,ETSI,url_authoritative,85,,51,active,,,
DORA,DORA (EU Digital Operational Resilience),EU financial sector ICT risk and resilience regulation,52,PQC-REGION-EU,yes,2025 (effective),Operational resilience requirements for EU financial entities. Crypto risk in scope.,EBA/ESMA/EIOPA,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://www.eiopa.europa.eu/digital-operational-resilience-act-dora_en,bis,yes,EBA/ESMA/EIOPA,url_needs_review,85,,52,active,,,
SWIFT-CSP,SWIFT CSP,SWIFT Customer Security Programme mandatory controls,52,PQC-REGION-GLOBAL,no,Annual,Annual security attestation required for SWIFT network participants.,SWIFT,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.swift.com/myswift/customer-security-programme,swift,yes,SWIFT,url_authoritative,85,,52,active,,,
ISO-27001,ISO 27001,International information security management standard,52;54;62;51;22;92,PQC-REGION-GLOBAL,no,Ongoing,Widely adopted ISMS standard. No explicit PQC deadline but requires crypto risk management.,ISO/IEC,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.iso.org/standard/27001,iso-iec-sc27,yes,ISO/IEC,url_authoritative,85,,52;54;62;51;22;92,active,,,
SOC-2,SOC 2,Service Organization Control 2 trust services criteria,54;52;62,US;CA,no,Ongoing,Trust Services Criteria. Cryptographic controls reviewed in SOC 2 Type II audits.,AICPA,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,aicpa,yes,AICPA,url_needs_review,85,,54;52;62,active,,,
GDPR,GDPR,EU General Data Protection Regulation,62;54;52;44;61,PQC-REGION-EU,no,Ongoing,Art. 32 requires appropriate encryption. PQC becoming expected standard for long-lived personal data.,EU DPAs,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://gdpr.eu,enisa,yes,EU DPAs,url_needs_review,85,,62;54;52;44;61,active,,,
HITECH,HITECH Act,Health Information Technology for Economic and Clinical Health Act,62,US,no,Ongoing,Extends HIPAA enforcement. Mandates breach notification and strong encryption for ePHI.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.hhs.gov/hipaa/for-professionals/special-topics/hitech-act-enforcement-interim-final-rule/index.html,hhs,yes,HHS OCR,url_authoritative,85,,62,active,,,
FDA-21CFR11,FDA 21 CFR Part 11,Electronic records and signatures in FDA-regulated industries,62,US,no,Ongoing,Signature integrity requirements applicable to PQC migration for regulated medical software.,FDA,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/part-11-electronic-records-electronic-signatures-scope-and-application,fda,yes,FDA,url_authoritative,85,,62,active,,,
FEDRAMP,FedRAMP,Federal Risk and Authorization Management Program,92,US,yes,Ongoing (Rev 5 — PQC guidance expected),No direct FedRAMP PQC mandate today. Dependency chain: FIPS 203/204/205 (Aug 2024) → CMVP must validate PQC modules under FIPS 140-3 (no earlier than 2026-2027) → SP 800-53 updated with PQC controls → FedRAMP baselines incorporate. OMB post-FIPS guidance (statutorily due Aug 2025) not yet published. Realistic enforcement: 2027+. Mandate mechanism: indirect via NIST FIPS 140-3 / SP 800-53 chain.,GSA/FedRAMP PMO,CISA-PQC-CATEGORY-LIST-2026;EO-14306;GSA-PQC-Buyers-Guide-2025,United States:NIST,certification_body,https://www.fedramp.gov,cisa,yes,GSA/FedRAMP PMO,url_authoritative,85,,92,active,,,
DISA-STIG,DISA STIGs,Defense Information Systems Agency Security Technical Implementation Guides,92,US,yes,Ongoing,Mandatory hardening guides for U.S. DoD systems. Crypto requirements updated regularly.,DISA,NSA CNSA 2.0;DoD-CIO-PQC-Memo-2025,United States:NSA,compliance_framework,https://public.cyber.mil/stigs/,disa,yes,DISA,url_authoritative,85,,92,active,,,
NATO-4774,NATO STANAG 4774,NATO confidentiality metadata labeling standard,92,US;PQC-REGION-EU;CA;CZ;AU,yes,Ongoing,Coalition partner interoperability requirements. PQC transition affects classified data exchange.,NATO,FIPS 203;FIPS 204;FIPS 205,NATO:NATO,compliance_framework,https://www.nato.int/cps/en/natohq/topics_78170.htm,nato,yes,NATO,url_authoritative,85,,92,active,,,
ISO-SAE-21434,ISO/SAE 21434,Road vehicle cybersecurity engineering standard,48,PQC-REGION-GLOBAL,yes,Ongoing,Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals.,ISO/SAE,IEEE 1609.2 Amendment,,technical_standard,https://www.iso.org/standard/70918.html,iso-iec-sc27,yes,ISO/SAE,url_authoritative,85,,48,active,,,
UN-ECE-WP29,UN ECE WP.29 R155/R156,UN regulations for vehicle cybersecurity and software updates,48,PQC-REGION-EU,yes,Ongoing,Type approval requires cybersecurity management systems and secure OTA update processes.,UNECE,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://unece.org/transport/vehicle-regulations,unece,yes,UNECE,url_authoritative,85,,48,active,,,
NERC-CIP,NERC CIP,North American Electric Reliability Corporation Critical Infrastructure Protection,22,US;CA,yes,Ongoing,Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011.,NERC,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.nerc.com/pa/Stand/Pages/ReliabilityStandards.aspx,nerc,yes,NERC,url_authoritative,85,,22,active,,,
IEC-62443,IEC 62443,Industrial cybersecurity standard for OT/ICS environments,22;48;48,PQC-REGION-GLOBAL,yes,Ongoing,Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.,IEC,IEC 62443;FIPS 203;FIPS 204,,technical_standard,https://www.iec.ch/iecnorex/,iec,yes,IEC,url_needs_review,85,,22;48;48,active,,,
DO-326A,DO-326A / ED-202A,Airworthiness security process specification for aircraft systems,48,PQC-REGION-GLOBAL,yes,Ongoing,Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans.,RTCA/EUROCAE,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.rtca.org,rtca,yes,RTCA/EUROCAE,url_authoritative,85,,48,active,,,
RTCA-DO-355A,RTCA DO-355A,Information security guidance for continuing airworthiness,48,PQC-REGION-GLOBAL,yes,Ongoing,Supplement to DO-326A for operational phase. Covers cryptographic controls in service.,RTCA,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.rtca.org,rtca,yes,RTCA,url_authoritative,85,,48,active,,,
FERPA,FERPA,Family Educational Rights and Privacy Act,61,US,no,Ongoing,Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.,US Dept of Education,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://studentprivacy.ed.gov/ferpa,omb,yes,US Dept of Education,url_authoritative,85,,61,active,,,
NIS2,NIS2 Directive,EU network and information security directive for essential and important entities,54;52;62;22;51;48,PQC-REGION-EU,yes,October 2024 (transposition passed — enforcement underway),EU-wide cybersecurity baseline for essential and important entities. Member states were required to transpose NIS2 by October 2024; enforcement is now active across the EU.,ENISA/EU Member States,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://www.enisa.europa.eu/topics/cybersecurity-policy/nis2-directive,enisa,yes,ENISA/EU Member States,url_authoritative,85,,54;52;62;22;51;48,active,,,
COPPA,COPPA,US Children's Online Privacy Protection Act,61;54,US,no,Ongoing,Protects children under 13 online. PQC relevant for long-lived minor data and parental consent records.,FTC,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa,ftc,yes,FTC,url_authoritative,85,,61;54,active,,,
TISAX,TISAX,Trusted Information Security Assessment Exchange for automotive supply chain,48,PQC-REGION-EU,no,Ongoing,VDA-managed assessment for automotive suppliers. Covers information security including cryptographic controls.,VDA/ENX,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://portal.enx.com/en-US/TISAX/,iso-iec-sc27,yes,VDA/ENX,url_needs_review,85,,48,active,,,
MICA,MiCA,EU Markets in Crypto-Assets Regulation,52,PQC-REGION-EU,no,2024 (phased; fully effective Dec 30 2024),"EU regulation for crypto-asset service providers (cryptocurrencies and digital tokens). MiCA itself is not a cryptography standard, but security requirements for digital wallets and custody systems are indirectly affected by PQC migration. Stablecoin titles applied from June 30 2024; full regulation from December 30 2024.",ESMA/EBA,FIPS 203;FIPS 204;FIPS 205,European Union:EC;European Union:ECCG,compliance_framework,https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/markets-crypto-assets-regulation-mica,bis,yes,ESMA/EBA,url_needs_review,85,,52,active,,,
TSA-PIPELINE,TSA Pipeline Security Directive,US TSA cybersecurity requirements for pipeline operators,22,US,yes,Ongoing,Mandatory cybersecurity measures for critical pipeline infrastructure. Covers encryption for SCADA/OT. As of May 2025 the in-force directive is SD Pipeline-2021-02F (supersedes SD02C); see TSA SD index for the current version.,TSA,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.tsa.gov/sd-and-ea,cisa,yes,TSA,url_authoritative,85,,22,active,,,
NIST-IR-8547,NIST IR 8547,NIST transition to post-quantum cryptography standards guidance,92;52;54;62;22;51;48,US;CA;AU,yes,"2030 (deprecate), 2035 (disallow)",Transition guidance recommending deprecation of 112-bit classical asymmetric algorithms by 2030 and disallowance by 2035.,NIST,NIST IR 8547,United States:NIST,technical_standard,https://csrc.nist.gov/pubs/ir/8547/ipd,nist-csrc,yes,NIST,url_authoritative,85,,92;52;54;62;22;51;48,active,,,
ASD-ISM,ASD ISM,Australian Signals Directorate Information Security Manual,92;52;54,AU,yes,2030 (ISM-1917 effective — traditional crypto prohibited),"ISM control ISM-1917 requiring ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256. Full PQC transition by 2030.",ASD,Australia ASD PQC Guidance,Australia:ASD,compliance_framework,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism,acsc,yes,ASD,url_authoritative,85,,92;52;54,active,,,
CCCS-ITSM,CCCS ITSM.40.001,Canadian Centre for Cyber Security roadmap for PQC migration,92;52;54;22,CA,yes,2025 (effective June 23 2025),Roadmap for migration to PQC for Canadian government systems. CCCS guidance applies to all Canadian organizations including financial sector and critical infrastructure operators.,CCCS,Canada CSE PQC Guidance,Canada:CCCS,compliance_framework,https://www.cyber.gc.ca/en/guidance/preparing-your-organization-quantum-threat-cryptography-itsap00017,cccs,yes,CCCS,url_authoritative,85,,92;52;54;22,active,,,
EU-REC-2024-1101,EU Recommendation 2024/1101,European Commission coordinated PQC implementation roadmap,92;54;52,PQC-REGION-EU,yes,2030 (critical systems),Coordinated implementation roadmap for PQC transition across EU member states. NIS Cooperation Group Roadmap v1.1 (June 2025) provides harmonized timelines and cross-border coordination.,European Commission,EU PQC Recommendation;ENISA PQC Guidelines;EU-NIS-CG-Roadmap-v1.1;EC-Recommendation-2024-1101,European Union:EC,compliance_framework,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024H1101,ec,yes,European Commission,url_needs_review,85,,92;54;52,active,,,
BSI-TR-02102,BSI TR-02102,"German BSI technical guideline for cryptographic mechanisms, TLS, IPsec, SSH",92;54,DE,yes,Ongoing (v2026-01 update),BSI technical guideline series covering PQC recommendations including ML-KEM and ML-DSA. v2026-01 recommends hybrid PQC now; classical-only Diffie-Hellman key agreement recommended only until end of 2031.,BSI,BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4,Germany:BSI,technical_standard,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-sortiert/tr02102/tr02102_node.html,bsi,yes,BSI,url_authoritative,85,,92;54,active,,,
UK-NCSC,UK NCSC PQC Guidance,UK National Cyber Security Centre quantum-safe cryptography guidance,92;54;52,GB,yes,2028 (Phase 1: migration plans due); 2031 (Phase 2: high-priority systems); 2035 (Phase 3: full migration),Three-phase roadmap: Phase 1 (now-2028): identify cryptographic services and have migration plans approved — NOT a migration cutover deadline; Phase 2 (2028-2031) execute high-priority upgrades; Phase 3 (2031-2035) complete full migration to PQC across all systems.,NCSC,UK NCSC PQC Guidance;UK-NCSC-PQC-Whitepaper-2024;UK-NCSC-Migration-Timelines-2025,United Kingdom:NCSC,compliance_framework,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,ncsc-uk,yes,NCSC,url_authoritative,85,,92;54;52,active,,,
CRYPTREC,CRYPTREC,Japan Cryptography Research and Evaluation Committees PQC guidelines,92;54,JP,yes,Ongoing (GL-2007-2024),"Current PQC guideline: CRYPTREC GL-2007-2024 (FY2024 edition, supersedes GL-2004-2022 from FY2022). PDF: cryptrec.go.jp/report/cryptrec-gl-2007-2024.pdf. ML-KEM added to Recommended Ciphers List on 2026-03-30.",CRYPTREC,Japan CRYPTREC Report 2024,Japan:CRYPTREC,compliance_framework,https://www.cryptrec.go.jp/en/,cryptrec,yes,CRYPTREC,url_needs_review,85,,92;54,active,,,
MAS-CIRCULAR,MAS Circular,Monetary Authority of Singapore financial services PQC advisory,52,SG,yes,Ongoing (February 2024),"MAS Circular No. MAS/TCRS/2024/01 (Feb 2024) — Advisory on Addressing the Cybersecurity Risks Associated with Quantum. Recommends inventory, vendor coordination, considering both PQC and QKD. Called an advisory by MAS; no hard migration dates set.",MAS,Singapore-CSA-Quantum-Safe-Handbook,Singapore:MAS,compliance_framework,https://www.mas.gov.sg/regulation/circulars,csa-singapore,yes,MAS,url_needs_review,85,,52,active,,,
KPQC-STD,KpqC Standardization,Korea Post-Quantum Cryptography standardization program with national PQC transition roadmap,92;51;52;54,KR,guidance,No regulatory migration deadline issued,"KpqC is a Korean PQC competition (winners HAETAE / AIMer / SMAUG-T / NTRU+ announced Jan 2025), not a migration mandate. MSIT 2030 target is PQC algorithm self-reliance (development capacity); MSIT 2035 target is broader quantum-industry leadership; neither sets enterprise migration deadlines.",KISA/NIS/MSIT,FIPS 203;FIPS 204;FIPS 205,South Korea:NIS/KISA;South Korea:MSIT,standardization_body,https://kpqc.or.kr,kisa,yes,KISA/NIS/MSIT,url_needs_review,85,,92;51;52;54,active,,,
KCMVP,KCMVP,Korean Cryptographic Module Validation Program for government systems,92;52;54,KR,no,Ongoing,Mandatory module validation for Korean government. PQC algorithm integration expected after KpqC standardization completes (~2027-2028).,NIS,FIPS 203;FIPS 204;FIPS 205,South Korea:NIS/KISA,certification_body,https://www.nis.go.kr,nist-csrc,yes,NIS,url_needs_review,85,,92;52;54,active,,,
NZISM,NZISM,New Zealand Information Security Manual with PQC preparation requirements,92;54,NZ,yes,2026-2030 (phased transition),NZISM v3.9 (Nov 2025) Section 2.4 on PQC preparation. 19 agencies implementing. Aligned with Five Eyes.,GCSB/NCSC,FIPS 203;FIPS 204;FIPS 205,New Zealand:GCSB/NCSC,compliance_framework,https://www.gcsb.govt.nz/our-work/ncsc/nzism/,ncsc-uk,yes,GCSB/NCSC,url_needs_review,85,,92;54,active,,,
