Source_Name,Source_Type,Region,Primary_URL,Description,Leaders_CSV,Library_CSV,Algorithm_CSV,Threats_CSV,Timeline_CSV,Compliance_CSV,Migrate_CSV,Last_Verified_Date,primary_url_quality
Carnegie Mellon CyLab,Academic,Americas,https://www.cylab.cmu.edu/,Advanced PQC research including vulnerability analysis of NIST algorithms and quantum-safe protocol development,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
UC Berkeley BQIC,Academic,Americas,https://bqic.berkeley.edu/,Berkeley Quantum Information & Computation Center focusing on quantum cryptography and algorithm research,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Ruhr University Bochum Cryptography,Academic,EMEA,https://www.crypto.rub.de/,Leading European PQC research; developers of NIST-selected CRYSTALS algorithms,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Max Planck Institute Security and Privacy,Academic,EMEA,https://www.mpi-sp.org/,German research institute contributing to NIST PQC standardization efforts,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Brno University of Technology,Academic,EMEA,https://www.vut.cz/en/,Coordinator of EU Horizon QARC project for quantum-resistant cryptography in practice (2026-2029),No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Duke University Quantum Center,Academic,Americas,https://quantum.duke.edu/,Interdisciplinary quantum research including quantum-safe cryptography foundations,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Yale University Quantum Institute,Academic,Americas,https://quantuminstitute.yale.edu/,Collaborative quantum research across physics engineering and computer science,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Virginia Tech Cybersecurity,Academic,Americas,https://cyber.vt.edu/,Lattice-based cryptographic algorithm evaluation for NIST standardization,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
George Mason University Crypto,Academic,Americas,https://csis.gmu.edu/,Hardware implementation and security analysis of PQC candidates,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
University of San Diego Crypto Group,Academic,Americas,https://www.sandiego.edu/,PQC research publications and algorithm development,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
IBM Research Quantum-Safe,Industry Workgroup,Global,https://www.ibm.com/quantum/quantum-safe,Leading contributor to NIST PQC standards (ML-KEM ML-DSA SLH-DSA); crypto-agility solutions,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Quantum-Safe 360 Alliance,Industry Workgroup,Global,https://www.ibm.com/consulting,Alliance of IBM Consulting Keyfactor Quantinuum and Thales for PQC migration services,No,No,No,No,No,No,No,2026-05-06,url_needs_review
RESQUE Consortium,Industry Workgroup,EMEA,https://www.thalesgroup.com/,French consortium (Thales TheGreenBow CryptoExperts CryptoNext ANSSI Inria) for secure communications,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
PQShield,Industry Workgroup,Global,https://pqshield.com/,Commercial PQC solutions provider; quantum-resistant semiconductor IP and cryptography,Yes,No,Yes,No,Yes,No,Yes,2026-05-06,url_needs_review
SandboxAQ,Industry Workgroup,Americas,https://www.sandboxaq.com/,Enterprise quantum-safe cryptography solutions; PQCA founding member,Yes,No,Yes,No,Yes,No,Yes,2026-05-06,url_needs_review
QuSecure,Industry Workgroup,Americas,https://qusecure.com/,Quantum-resistant security solutions; PQCA founding member,No,No,No,No,No,No,Yes,2026-05-06,url_needs_review
Qrypt,Industry Workgroup,Americas,https://www.qrypt.com/,Quantum-secure encryption company; PKI Consortium member since 2024,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
01 Quantum,Industry Workgroup,Global,https://01quantum.com/,Early-stage quantum-safe security leader focusing on agile PQC deployment,No,No,No,No,No,No,No,2026-05-06,url_authoritative
CryptoNext Security,Industry Workgroup,EMEA,https://www.cryptonext-security.com/,French quantum-safe cryptography vendor; RESQUE consortium member,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
CryptoExperts,Industry Workgroup,EMEA,https://www.cryptoexperts.com/,Cryptography R&D consultancy; RESQUE consortium member,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Quantinuum,Industry Workgroup,Global,https://www.quantinuum.com/,Quantum computing and quantum-safe solutions; Quantum-Safe 360 Alliance member,No,No,Yes,No,Yes,No,No,2026-05-06,url_needs_review
Kudelski IoT,Industry Workgroup,EMEA,https://www.kudelski-iot.com/,IoT security with PQC implementation; PQCA founding member,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
IntellectEU,Industry Workgroup,EMEA,https://www.intellecteu.com/,Enterprise blockchain and quantum-safe solutions; PQCA founding member,No,No,No,No,No,No,No,2026-05-06,url_needs_review
Crypto Quantique,Industry Workgroup,EMEA,https://www.cryptoquantique.com/,Quantum-driven security for IoT devices,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Xiphera,Industry Workgroup,EMEA,https://www.xiphera.com/,Hardware cryptographic IP cores including PQC implementations,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
ResQuant,Industry Workgroup,EMEA,https://resquant.com/,Quantum risk assessment and PQC migration planning services,No,No,No,No,No,No,No,2026-05-06,url_needs_review
Sixscape Communications,Industry Workgroup,Americas,https://www.sixscape.com/,IPv6 and quantum-safe network security solutions,No,No,No,No,No,No,No,2026-05-06,url_needs_review
Archon Security,Industry Workgroup,Global,https://www.archon.com/,Quantum-safe cryptographic solutions and consulting,No,No,No,No,No,No,No,2026-05-06,url_authoritative
McGill University Cryptography,Academic,Americas,https://crypto.cs.mcgill.ca/,PQCrypto steering committee member; advanced cryptographic research,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
University of Cincinnati Crypto,Academic,Americas,https://homepages.uc.edu/~coudtj/,PQCrypto steering committee representation; lattice cryptography research,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Norwegian University of Science and Technology,Academic,EMEA,https://www.ntnu.edu/,PQCrypto steering committee member; Nordic PQC research leadership,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Pennsylvania State University Crypto,Academic,Americas,https://www.cse.psu.edu/,PQCrypto steering committee; code-based cryptography research,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
University of Ryukyu,Academic,APAC,https://www.u-ryukyu.ac.jp/en/,Japanese PQCrypto research; regional PQC standardization collaboration,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
University of Limoges XLIM,Academic,EMEA,https://www.xlim.fr/en,French research institute; PQCrypto steering committee member,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Indian Institute of Information Technology Kurnool,Academic,APAC,https://www.iiitk.ac.in/,MeitY-sponsored PQC research projects (2025-2026),No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
NIST Computer Security Resource Center,Government,Americas,https://csrc.nist.gov/projects/post-quantum-cryptography,Primary PQC standardization authority; FIPS standards and technical specifications,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
NIST News & Events,Government,Americas,https://www.nist.gov/news-events,Official NIST announcements for PQC milestones and algorithm selections,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
NSA Cybersecurity Advisory,Government,Americas,https://www.nsa.gov/Press-Room/Cybersecurity-Advisories-Guidance/,CNSA 2.0 guidance and National Security System requirements,No,No,No,No,No,No,No,2026-05-06,url_authoritative
NSA Media Defense Portal,Government,Americas,https://media.defense.gov/,Official NSA/DoD technical documentation and FAQ releases,No,No,No,No,No,No,No,2026-05-06,url_authoritative
CISA Quantum Page,Government,Americas,https://www.cisa.gov/quantum,Federal PQC product categories and procurement guidance (updated Jan 2026),No,No,No,No,No,No,No,2026-05-06,url_authoritative
BSI Post-Quantum Cryptography,Government,EMEA,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,German Federal Office for Information Security PQC guidance and migration strategies,No,No,No,No,No,No,No,2026-05-06,url_authoritative
ANSSI Cryptography Guidelines,Government,EMEA,https://www.ssi.gouv.fr/en/,French cybersecurity agency quantum transition recommendations,No,No,No,No,No,No,No,2026-05-06,url_needs_review
NCSC UK Quantum Security,Government,EMEA,https://www.ncsc.gov.uk/whitepaper/quantum-safe-cryptography,UK National Cyber Security Centre quantum threat guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
ENISA Post-Quantum Cryptography,Government,EMEA,https://www.enisa.europa.eu/topics/cryptography,EU cybersecurity agency PQC recommendations and threat analysis,No,No,No,No,No,No,No,2026-05-06,url_authoritative
ACSC Australian Signals Directorate,Government,APAC,https://www.cyber.gov.au/,Australian Cyber Security Centre quantum security guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
CSE Canadian Centre for Cyber Security,Government,Americas,https://cyber.gc.ca/en/,Canadian cybersecurity guidance on quantum threats and PQC migration,No,No,No,No,No,No,No,2026-05-06,url_authoritative
Federal Reserve Economic Research,Government,Americas,https://www.federalreserve.gov/econres/feds/,Economic and security analysis including HNDL threats to financial systems,No,No,No,No,No,No,No,2026-05-06,url_authoritative
IETF Datatracker,Industry Workgroup,Global,https://datatracker.ietf.org/,Internet protocol standards including TLS and PKI PQC specifications,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
ISO/IEC JTC 1 SC 27,Industry Workgroup,Global,https://www.iso.org/committee/45306.html,International cryptography standards development,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
ETSI Cyber Security,Industry Workgroup,EMEA,https://www.etsi.org/technologies/quantum-safe-cryptography,European telecommunications standards for quantum-safe protocols,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
IEEE Standards Association,Industry Workgroup,Global,https://standards.ieee.org/,Technical standards for quantum-safe implementations,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
PKI Consortium,Industry Workgroup,Global,https://pkic.org/,Public key infrastructure industry coordination and PQC conferences,Yes,Yes,No,No,Yes,No,No,2026-05-06,url_needs_review
Post-Quantum Cryptography Alliance,Industry Workgroup,Global,https://pqcrypto.org/,Research consortium coordinating PQC development and analysis,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
PQCA (Post-Quantum Cryptography Alliance),Industry Workgroup,Americas,https://www.pqca.org/,Industry alliance for PQC adoption and standards harmonization,No,No,No,No,No,No,No,2026-05-06,url_authoritative
Trusted Computing Group,Industry Workgroup,Global,https://trustedcomputinggroup.org/,Hardware security standards including TPM PQC specifications,No,Yes,Yes,No,Yes,No,No,2026-05-06,url_needs_review
FS-ISAC Financial Services,Industry Workgroup,Global,https://www.fs-isac.com/,Financial sector threat intelligence and PQC migration guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
MIT CSAIL Cryptography Group,Academic,Americas,https://dci.mit.edu/,Post-quantum algorithm research and cryptanalysis,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Stanford Applied Crypto Group,Academic,Americas,https://crypto.stanford.edu/,PQC protocol design and security analysis research,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
University of Waterloo IQC,Academic,Americas,https://uwaterloo.ca/institute-for-quantum-computing/,Quantum computing and post-quantum cryptography research institute,No,No,Yes,No,Yes,No,No,2026-05-06,url_needs_review
ETH Zurich Cryptography Group,Academic,EMEA,https://crypto.ethz.ch/,European PQC algorithm development and analysis,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
INRIA France Cryptography,Academic,EMEA,https://www.inria.fr/en,French national research institute for PQC algorithms,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
TU Eindhoven Coding Theory,Academic,EMEA,https://www.tue.nl/en/research/research-groups/coding-theory-and-cryptology,Code-based and lattice-based PQC research,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
KU Leuven COSIC,Academic,EMEA,https://www.esat.kuleuven.be/cosic/,Belgian cryptography and security research center,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
University of Toronto Smart Grid Security,Academic,Americas,https://www.utoronto.ca/,Critical infrastructure quantum threat research,No,No,No,Yes,No,No,No,2026-05-06,url_needs_review
Tsinghua University Quantum Lab,Academic,APAC,https://www.tsinghua.edu.cn/en/,Chinese quantum computing and PQC research,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
National University of Singapore CQT,Academic,APAC,https://www.quantumlah.org/,Centre for Quantum Technologies PQC research,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
University of Tokyo Quantum,Academic,APAC,https://www.u-tokyo.ac.jp/en/,Japanese quantum security research programs,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
ABI Research Technology Analysis,Industry Workgroup,Global,https://www.abiresearch.com/,Industry technology forecasting including HSM and PQC adoption analysis,No,No,No,No,No,No,No,2026-05-06,url_needs_review
Thales Data Threat Reports,Industry Workgroup,Global,https://cpl.thalesgroup.com/resources,Annual cybersecurity threat assessments including quantum risks,No,No,No,No,No,No,No,2026-05-06,url_needs_review
Cloud Security Alliance,Industry Workgroup,Global,https://cloudsecurityalliance.org/,Cloud security standards including quantum-safe guidance,No,No,No,Yes,No,No,No,2026-05-06,url_needs_review
OWASP Quantum,Industry Workgroup,Global,https://owasp.org/,Application security guidance for quantum-safe development,No,No,No,No,No,No,No,2026-05-06,url_needs_review
Linux Foundation QSC,Industry Workgroup,Global,https://www.linuxfoundation.org/,Open source quantum-safe cryptography implementations,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Open Quantum Safe Project,Academic,Global,https://openquantumsafe.org/,Open-source PQC library development and testing,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
NIST IR Publications,Government,Americas,https://csrc.nist.gov/publications/search,"Implementation guidance and technical reports (IR 8413, IR 8547)",No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
CMVP Cryptographic Module Validation,Government,Americas,https://csrc.nist.gov/projects/cryptographic-module-validation-program,FIPS 140-3 validation for PQC implementations,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
NCSC Netherlands Post-Quantum,Government,EMEA,https://www.ncsc.nl/,Dutch cybersecurity center quantum transition guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
CCCS Canadian Crypto Standards,Government,Americas,https://www.cyber.gc.ca/en/guidance/cryptographic-algorithms-unclassified-protected-protected-b-information-itsp40111,Canadian cryptographic algorithm guidance including PQC,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Japan CRYPTREC,Government,APAC,https://www.cryptrec.go.jp/en/,Japanese cryptographic standards evaluation project,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
Korea KISA,Government,APAC,https://www.kisa.or.kr/eng/,Korean Internet & Security Agency PQC initiatives,No,No,No,No,No,No,No,2026-05-06,url_authoritative
Singapore CSA Cybersecurity,Government,APAC,https://www.csa.gov.sg/,Singapore Cyber Security Agency quantum readiness,No,No,No,No,No,No,No,2026-05-06,url_needs_review
ATARC Federal Technology,Industry Workgroup,Americas,https://www.atarc.org/,Advanced Technology Academic Research Center supporting CISA PQC initiatives,No,No,No,No,No,No,No,2026-05-06,url_needs_review
FIPS Standards Repository,Government,Americas,https://csrc.nist.gov/publications/fips,Official FIPS 203/204/205/206 standards documentation,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
arXiv Cryptography,Academic,Global,https://arxiv.org/list/cs.CR/recent,Pre-print repository for cutting-edge PQC research papers,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
IACR Cryptology ePrint,Academic,Global,https://eprint.iacr.org/,International Association for Cryptologic Research preprint archive,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
Bundesdruckerei Quantum ID,Government,EMEA,https://www.bundesdruckerei.de/en,German government printer developing quantum-secure ID systems,No,No,No,No,No,No,No,2026-05-06,url_needs_review
Quantum Computing Report,Industry Workgroup,Global,https://quantumcomputingreport.com/,Industry news aggregator covering PQC implementations and vendor announcements,No,No,No,No,No,No,No,2026-05-06,url_needs_review
G7 Cyber Expert Group,Government,Global,https://home.treasury.gov/news/press-releases/sb0355,G7 CEG statement on coordinated PQC roadmap for financial sector (Jan 2026); 2035 migration target; chaired by U.S. Treasury and Bank of England,No,No,No,Yes,Yes,No,No,2026-05-06,url_authoritative
CISA PQC Product Categories,Government,Americas,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,Federal procurement guidance for PQC-capable products (Jan 2026); identifies product categories where PQC is widely available,No,No,No,No,No,No,No,2026-05-06,url_authoritative
Ethereum Foundation PQC,Industry Workgroup,Global,https://ethereum.org/,Ethereum Foundation post-quantum security team (Jan 2026); dedicated PQC engineering with $2M research prizes and multi-client test networks,No,Yes,Yes,Yes,No,No,No,2026-05-06,url_needs_review
Signal Messenger Protocol,Industry Workgroup,Global,https://signal.org/docs/,"Signal’s official protocol documentation, including the PQXDH post-quantum key agreement specification. Signal deployed ML-KEM-based PQXDH in production in September 2023, making it one of the first widely-deployed PQC messaging protocols.",No,Yes,No,No,Yes,No,Yes,2026-05-06,url_needs_review
Apple Security Research,Industry Workgroup,Global,https://security.apple.com/,"Apple Security Engineering & Architecture blog and documentation. Source of the iMessage PQ3 protocol whitepaper (February 2024), which details Apple’s deployment of ML-KEM for quantum-safe messaging at scale.",No,Yes,No,No,Yes,No,Yes,2026-05-06,url_needs_review
AIVD/MIVD Netherlands Intelligence,Government,EMEA,https://english.aivd.nl/,Joint publications from the Dutch General Intelligence and Security Service (AIVD) and Military Intelligence and Security Service (MIVD) on quantum threat assessments and post-quantum cryptography migration guidance for the Netherlands.,No,Yes,No,No,No,No,No,2026-05-06,url_needs_review
ETSI — European Telecommunications Standards Institute,Standards_Body,EMEA,https://www.etsi.org/technologies/quantum-safe-cryptography,"ETSI Quantum Safe Cryptography (QSC) Working Group. Publishes ETSI TS/TR on PQC migration, hybrid key exchange, and QKD. ETSI TS 103 744 defines quantum-safe hybrid key exchange.",No,Yes,No,No,Yes,Yes,Yes,2026-05-06,url_authoritative
World Wide Web Consortium (W3C),Standards_Body,Global,https://www.w3.org/,W3C Web Cryptography API (WebCrypto) and Verifiable Credentials standards. PQC integration in web standards relevant to identity and browser cryptography.,No,Yes,No,No,No,No,Yes,2026-05-06,url_authoritative
New Zealand Information Security Manual (NZISM),Government,APAC,https://www.nzism.gcsb.govt.nz/,New Zealand national information security standard mandating PQC adoption timeline for government agencies. Aligns with Five Eyes PQC guidance.,No,No,No,No,Yes,Yes,No,2026-05-06,url_needs_review
Sectigo,Industry_Vendor,Americas,https://www.sectigo.com/,CA/PKI vendor with active PQC certificate issuance capabilities. Sectigo is piloting hybrid PQC TLS certificates and PQC code-signing certificates.,Yes,No,No,No,No,No,Yes,2026-05-06,url_needs_review
Google Quantum AI,Industry_Research,Americas,https://quantumai.google/,Google's quantum computing and PQC research division. Published Willow chip results (2024). Active contributor to NIST PQC standardization and open-source PQC implementations (CIRCL).,Yes,Yes,Yes,Yes,No,No,Yes,2026-05-06,url_needs_review
U.S. Department of Defense CIO,Government,Americas,https://dodcio.defense.gov/,DoD CIO oversees CNSA 2.0 implementation across all DoD components. Issues PQC migration guidance and compliance timelines for NSS (National Security Systems).,No,No,No,No,Yes,Yes,Yes,2026-05-06,url_authoritative
Microsoft Security,Industry_Research,Americas,https://www.microsoft.com/en-us/security/blog/,"Microsoft Security blog and research covering PQC migration, Azure PQC roadmap, and Windows/Office 365 quantum-safe cryptography implementation.",Yes,Yes,No,Yes,No,No,Yes,2026-05-06,url_needs_review
OASIS Open,Standards_Body,Global,https://www.oasis-open.org/,"OASIS standards body overseeing PKCS#11 TC (cryptographic token interface), KMIP (key management), and emerging PQC standards integration.",No,Yes,No,No,No,Yes,Yes,2026-05-06,url_needs_review
IBM Institute for Business Value,Industry_Research,Americas,https://www.ibm.com/thought-leadership/institute-business-value/,IBM IBV research on quantum risk and PQC enterprise adoption. Publishes annual quantum-safe readiness surveys and enterprise migration playbooks.,No,No,No,Yes,No,No,Yes,2026-05-06,url_needs_review
Meta Engineering,Industry_Research,Americas,https://engineering.fb.com/,Meta's engineering blog covering PQC deployment at scale. Published research on PQC in messaging (Signal/WhatsApp) and internal infrastructure migration.,Yes,Yes,No,No,No,No,Yes,2026-05-06,url_needs_review
Deloitte,Consulting,Global,https://www2.deloitte.com/,Deloitte quantum risk advisory and PQC readiness assessment frameworks. Published quantum vulnerability assessments for financial services and government sectors.,No,No,No,Yes,No,Yes,Yes,2026-05-06,url_needs_review
Forrester Research,Analyst_Firm,Americas,https://www.forrester.com/,"Forrester analyst coverage of PQC market landscape, vendor evaluations, and enterprise quantum security readiness assessments.",No,No,No,No,No,No,Yes,2026-05-06,url_needs_review
InfoSec Global,Industry_Vendor,Americas,https://www.infosecglobal.com/,Cryptographic asset discovery and PQC migration automation platform. AgileSec Analytics product maps cryptographic inventory for enterprise PQC migration planning.,Yes,No,No,No,No,No,Yes,2026-05-06,url_needs_review
Applied Quantum,Industry_Vendor,Americas,https://www.appliedquantum.com/,PQC consulting and implementation services. Specializes in PQC migration for financial services and healthcare.,Yes,No,No,No,No,No,Yes,2026-05-06,url_needs_review
Charter of Trust,Industry_Workgroup,Global,https://www.charteroftrust.com/,Siemens-led cybersecurity coalition (19+ members) with PQC workstream. Publishes PQC migration recommendations for industrial and critical infrastructure.,Yes,No,No,Yes,No,Yes,Yes,2026-05-06,url_needs_review
Cambridge Judge Business School,Academic,EMEA,https://www.jbs.cam.ac.uk/,"Cambridge business research on quantum risk economics, PQC transition costs, and enterprise quantum readiness frameworks.",No,No,No,Yes,No,No,Yes,2026-05-06,url_needs_review
